IncidentId,PersonNo,PropertyDamageNo,PropDamageType,DamageDescription,
28573839,8,1,PRIVATE PROPERTY,8 CONSTRUCTION LANE HIGH VISIBILTY BARRELS,
28573839,9,1,TRANSPORTATION CABINET,TWO INTERSTATE 65 MARKER SIGNS,
28587723,3,1,PRIVATE PROPERTY,TRAFFIC CONE AND WOOD BARRICADE,
28601663,1,1,PRIVATE PROPERTY,CONCRETE BARRIER,
28645868,1,1,PRIVATE PROPERTY,APPROXIMATELY 100' OF FENCE AND FENCE POSTS,
28652520,1,1,PRIVATE PROPERTY,LIGHT ARROW BOARD,
28688570,1,1,PRIVATE PROPERTY,LAWN AND ROCK WALL,
28688570,4,1,UTILITY,FIRE HYDRANT,
28690267,1,1,PRIVATE PROPERTY,WESTBOUND GUARD RAIL ,
28780821,1,1,OTHER GOVERNMENT,CABLE BARRIER,
28781242,3,1,PRIVATE PROPERTY,DIRECTIONAL ARROW SIGN,
28789579,7,1,PRIVATE PROPERTY,SUPERIOR BROOM SWEEPER,
28794990,3,1,TRANSPORTATION CABINET,GAURD RAIL,
28799304,7,1,PRIVATE PROPERTY,ONE CHAIN LINK FENCE POST ,
28806961,2,1,PRIVATE PROPERTY,ARROW TRAILER,
28903259,5,1,PRIVATE PROPERTY,BOLT ON PAVER ,
28980829,7,1,PRIVATE PROPERTY,ONE CABLE BARRIER POST PUSHED OVER ,
29127254,3,1,UTILITY,LIGHT POLE,
29144523,1,1,PRIVATE PROPERTY,GUARDRAIL,
29174461,1,1,TRANSPORTATION CABINET,GUARD RAIL,
29175836,1,1,TRANSPORTATION CABINET,GUARDRAIL,
29179136,1,1,TRANSPORTATION CABINET,GUARDRAIL,
29181616,1,1,TRANSPORTATION CABINET,CENTER CAP COLLISION DETERENT GUARDRAIL,
29245860,1,1,LOCAL GOVERNMENT,CITY LIGHT POLE,
29318753,1,1,TRANSPORTATION CABINET,GUARD RAIL,
29339518,1,1,PRIVATE PROPERTY,MOBLE TRAFFIC CONTROL DEVICE,
29355183,1,1,TRANSPORTATION CABINET,APROX. 30 YARDS CABLE BARRIER,
29390190,3,1,TRANSPORTATION CABINET,CRASH BARRIER WALL ,
29461837,3,1,PRIVATE PROPERTY,DAMAGE TO BARBWIRE FENCE,
29475759,1,1,PRIVATE PROPERTY,GUTTERS WEATHER HEAD AND POWER LINE ATTACHMENTS. ,
29475759,2,1,UTILITY,UTILITY LINES ,
29493654,3,1,UTILITY,CONCRETE BARRIER WALL,
30020713,1,1,TRANSPORTATION CABINET,GUARDRAIL,
