IncidentId,PersonNo,PropertyDamageNo,PropDamageType,DamageDescription,
32461090,2,1,PRIVATE PROPERTY,STOP SIGN,
32513394,3,1,UTILITY,UTILITY POLE,
32528372,4,1,PRIVATE PROPERTY,CRASH CUSHION,
32532220,1,1,TRANSPORTATION CABINET,GUARDRAIL FACE AND GUARDRAIL END,
32533106,5,1,PRIVATE PROPERTY,CONCRETE BARRIER,
32538584,1,1,PRIVATE PROPERTY,CONCRETE BARRIER,
32541960,1,1,TRANSPORTATION CABINET,TRAFFIC CONTROL DEVICE CONTROL PANEL AND STREET SIGN,
32567158,1,1,PRIVATE PROPERTY,SIGN ROAD CLOSED   HEAVY MACHINE  STREET SWEEPER,
32604587,1,1,PRIVATE PROPERTY,RENAISSANCE HAIR GALLERY,
32623313,2,1,PRIVATE PROPERTY,ARROW BOARD SIGN ,
32623313,3,1,TRANSPORTATION CABINET,ROAD SIGN AND POLE,
32623313,4,1,PRIVATE PROPERTY,9 TRAFFIC BARRELS,
32628127,1,1,PRIVATE PROPERTY,POST SUPPORTS FOR CABLE BARRIERS,
32636060,4,1,PRIVATE PROPERTY,GUARD RAIL,
33179217,1,1,PRIVATE PROPERTY,SIGN,
